|30536| 36976|12:05:53.114|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Connection Established: 2026-03-28 11:05:53.1140596 (pid: 30536)
|30536| 36976|12:05:53.114|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Writing capture log to C:\Users\anastaziuk\Desktop\DevshGraphicsProgramming\Nabla\worktrees\fastpath31\artifacts\nsight_graphics_probe\2026-03-28_1run_frame1000_compare\master_source_off\run01\master_source_off_frame1000_run01.log
|30536| 36976|12:05:53.262|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Detected enabled Vulkan layer: VK_LAYER_KHRONOS_validation (version 1.4.341)
|30536| 36976|12:05:53.324|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 2, api: Vulkan, type: PhysicalDevice
|30536| 36976|12:05:53.324|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 1, api: Vulkan, type: Instance
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceVideoCapabilitiesKHR
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceVideoFormatPropertiesKHR
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkEnumeratePhysicalDeviceQueueFamilyPerformanceQueryCountersKHR
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceQueueFamilyPerformanceQueryPassesKHR
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceVideoEncodeQualityLevelPropertiesKHR
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkAcquireDrmDisplayEXT
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetDrmDisplayEXT
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceQueueFamilyDataGraphPropertiesARM
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkGetPhysicalDeviceQueueFamilyDataGraphProcessingEnginePropertiesARM
|30536| 36976|12:05:53.324|wrn:50 |                                    :94    |               pylon>> Unexpected instance function not implemented by our layer: vkEnumeratePhysicalDeviceQueueFamilyPerformanceCountersByRegionARM
|30536| 36976|12:05:53.325|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 3, api: Vulkan, type: DebugUtilsMessengerEXT
|30536| 36976|12:05:53.557|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 4, api: Vulkan, type: SurfaceKHR
|30536| 36976|12:05:53.557|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Buffer address capture/replay enabled
|30536| 36976|12:05:53.557|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Injecting device extension: VK_EXT_memory_budget
|30536| 36976|12:05:53.673|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 6, api: Vulkan, type: Queue
|30536| 36976|12:05:53.673|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 7, api: Vulkan, type: Queue
|30536| 36976|12:05:53.673|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 8, api: Vulkan, type: Queue
|30536| 36976|12:05:53.673|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 9, api: Vulkan, type: Queue
|30536| 36976|12:05:53.673|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 5, api: Vulkan, type: Device
|30536| 36976|12:05:53.675|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 10, api: Vulkan, type: DescriptorSetLayout
|30536| 36976|12:05:53.675|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 11, api: Vulkan, type: Buffer
|30536| 36976|12:05:53.675|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:05:53.675|inf:50 |                                    :410   |       pylon_capture>> Backing memory with writewatch allocation
|30536| 36976|12:05:53.681|wrn:50 |                                    :92    |               pylon>> [VkDebugUtils] vkAllocateMemory(): pAllocateInfo->pNext<VkMemoryDedicatedAllocateInfo>.buffer is VkBuffer 0x90000000009 but also using a host import with VkImportMemoryHostPointerInfoEXT.
The Vulkan spec states: If the parameters define an import operation and the external handle is a host pointer, the pNext chain must not include a VkMemoryDedicatedAllocateInfo structure with either its image or buffer field set to a value other than VK_NULL_HANDLE (https://docs.vulkan.org/spec/latest/chapters/memory.html#VUID-VkMemoryAllocateInfo-pNext-02806)
|30536| 36976|12:05:53.699|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 12, api: Vulkan, type: DeviceMemory
|30536| 36976|12:05:53.699|wrn:50 |                                    :92    |               pylon>> [VkDebugUtils] vkBindBufferMemory2(): pBindInfos[0].memory (VkDeviceMemory 0xa000000000a) was created with an import operation with handleType of VK_EXTERNAL_MEMORY_HANDLE_TYPE_HOST_ALLOCATION_BIT_EXT which is not set in the VkBuffer (VkBuffer 0x90000000009) VkExternalMemoryBufferCreateInfo::handleType (VkExternalMemoryHandleTypeFlags(0)).
The Vulkan spec states: If memory was allocated by a memory import operation, that is not VkImportAndroidHardwareBufferInfoANDROID with a non-NULL buffer value, the external handle type of the imported memory must also have been set in VkExternalMemoryBufferCreateInfo::handleTypes when buffer was created (https://docs.vulkan.org/spec/latest/chapters/resources.html#VUID-VkBindBufferMemoryInfo-memory-02985)
|30536| 36976|12:05:53.699|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 13, api: Vulkan, type: Buffer
|30536| 36976|12:05:53.699|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Overriding vkAllocateMemory to demote host visible device local memory off device (memoryTypeIndex: 4 -> 2)
|30536| 36976|12:05:53.699|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Demoting uncached write-combined memory to cached memory to improve capture performance.
|30536| 36976|12:05:53.699|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:05:53.699|inf:50 |                                    :410   |       pylon_capture>> Backing memory with writewatch allocation
|30536| 36976|12:05:53.717|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 14, api: Vulkan, type: DeviceMemory
|30536| 36976|12:05:53.718|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 15, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.724|wrn:50 |                                    :125   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphCalculateMemoryRequirements
|30536| 36976|12:05:53.724|wrn:50 |                                    :127   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphCreate
|30536| 36976|12:05:53.724|wrn:50 |                                    :129   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphDestroy
|30536| 36976|12:05:53.724|wrn:50 |                                    :131   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetInputCount
